"","Date","Recorder","Site","Block","Plot","Quadrant","Species","Cover","Notes","survey"
"1108","28/6/2024","TM","Boothby","NE",213,4,"Rumex_obtusifolius",20,"","A"
"1109","28/6/2024","TM","Boothby","NE",213,4,"Cirsium_arvense",15,"","A"
"1110","28/6/2024","TM","Boothby","NE",213,4,"Epilobium_hirsutum",5,"","A"
"1111","28/6/2024","TM","Boothby","NE",213,4,"Rubus_pruinosus",2,"","A"
"1113","28/6/2024","TM","Boothby","NE",213,4,"Agrostis_stolonifera",5,"","A"
"1114","28/6/2024","TM","Boothby","NE",211,1,"Triticum_aestivum",45,"","A"
"1115","28/6/2024","TM","Boothby","NE",211,1,"Matricaria_chamomilla",2,"","A"
"1116","28/6/2024","TM","Boothby","NE",211,1,"Helminthotheca_echioides",2,"","A"
"1117","28/6/2024","TM","Boothby","NE",211,1,"Atriplex_patula",1,"","A"
"1119","28/6/2024","TM","Boothby","NE",211,2,"Triticum_aestivum",70,"","A"
"1120","28/6/2024","TM","Boothby","NE",211,2,"Matricaria_chamomilla",5,"","A"
"1121","28/6/2024","TM","Boothby","NE",211,2,"Atriplex_patula",5,"","A"
"1123","28/6/2024","TM","Boothby","NE",211,3,"Triticum_aestivum",65,"","A"
"1124","28/6/2024","TM","Boothby","NE",211,3,"Matricaria_chamomilla",3,"","A"
"1125","28/6/2024","TM","Boothby","NE",211,3,"Atriplex_patula",10,"","A"
"1127","28/6/2024","TM","Boothby","NE",211,4,"Triticum_aestivum",55,"","A"
"1128","28/6/2024","TM","Boothby","NE",211,4,"Atriplex_patula",15,"","A"
"1129","28/6/2024","TM","Boothby","NE",211,4,"Epilobium_montanum",8,"","A"
"1130","28/6/2024","TM","Boothby","NE",211,4,"Crepis_mollis",9,"","A"
"1132","28/6/2024","TM","Boothby","NE",122,1,"Triticum_aestivum",50,"","A"
"1133","28/6/2024","TM","Boothby","NE",122,1,"Senecio_vulgaris",2,"","A"
"1134","28/6/2024","TM","Boothby","NE",122,1,"Atriplex_patula",1,"","A"
"1136","28/6/2024","TM","Boothby","NE",122,2,"Triticum_aestivum",30,"","A"
"1137","28/6/2024","TM","Boothby","NE",122,2,"Senecio_vulgaris",1,"","A"
"1138","28/6/2024","TM","Boothby","NE",122,2,"Atriplex_patula",8,"","A"
"1139","28/6/2024","TM","Boothby","NE",122,2,"Taraxacum_officinale",5,"","A"
"1141","28/6/2024","TM","Boothby","NE",122,3,"Triticum_aestivum",35,"","A"
"1142","28/6/2024","TM","Boothby","NE",122,3,"Senecio_vulgaris",3,"","A"
"1143","28/6/2024","TM","Boothby","NE",122,3,"Atriplex_patula",10,"","A"
"1144","28/6/2024","TM","Boothby","NE",122,3,"Epilobium_hirsutum",8,"","A"
"1145","28/6/2024","TM","Boothby","NE",122,3,"Sonchus_asper",2,"","A"
"1147","28/6/2024","TM","Boothby","NE",122,4,"Triticum_aestivum",80,"","A"
"1148","28/6/2024","TM","Boothby","NE",122,4,"Senecio_vulgaris",1,"","A"
"1149","28/6/2024","TM","Boothby","NE",122,4,"Atriplex_patula",40,"","A"
"1151","28/6/2024","BB","Boothby","NE",112,1,"Arrhenatherum_elatius",60,"","A"
"1152","28/6/2024","BB","Boothby","NE",112,0,"Dactylis_glomerata",20,"","A"
"1153","28/6/2024","BB","Boothby","NE",112,0,"Rumex_conglomeratus",2,"","A"
"1154","28/6/2024","BB","Boothby","NE",112,0,"Achillea_nobilis",2,"","A"
"1155","28/6/2024","BB","Boothby","NE",112,0,"Calystegia_macrostegia",15,"","A"
"1156","28/6/2024","BB","Boothby","NE",112,0,"Cirsium_discolor",3,"","A"
"1157","28/6/2024","BB","Boothby","NE",112,0,"Centaurea_nigra",5,"","A"
"1159","28/6/2024","BB","Boothby","NE",112,2,"Dactylis_glomerata",30,"","A"
"1160","28/6/2024","BB","Boothby","NE",112,0,"Achillea_nobilis",3,"","A"
"1161","28/6/2024","BB","Boothby","NE",112,0,"Calystegia_macrostegia",15,"","A"
"1162","28/6/2024","BB","Boothby","NE",112,0,"Leontodon_hispidus",15,"","A"
"1163","28/6/2024","BB","Boothby","NE",112,0,"Arrhenatherum_elatius",40,"","A"
"1164","28/6/2024","BB","Boothby","NE",112,3,"Arrhenatherum_elatius",75,"","A"
"1165","28/6/2024","BB","Boothby","NE",112,0,"Dactylis_glomerata",15,"","A"
"1166","28/6/2024","BB","Boothby","NE",112,0,"Achillea_nobilis",2,"","A"
"1167","28/6/2024","BB","Boothby","NE",112,0,"Calystegia_macrostegia",7,"","A"
"1168","28/6/2024","BB","Boothby","NE",112,0,"Rumex_conglomeratus",4,"","A"
"1170","28/6/2024","BB","Boothby","NE",112,4,"Arrhenatherum_elatius",40,"","A"
"1171","28/6/2024","BB","Boothby","NE",112,0,"Dactylis_glomerata",40,"","A"
"1172","28/6/2024","BB","Boothby","NE",112,0,"Achillea_nobilis",1,"","A"
"1173","28/6/2024","BB","Boothby","NE",112,0,"Calystegia_macrostegia",10,"","A"
"1175","28/6/2024","BB","Boothby","NE",111,1,"Juncus_conglomeratus",20,"","A"
"1176","28/6/2024","BB","Boothby","NE",111,0,"Holcus_lanatus",20,"","A"
"1177","28/6/2024","BB","Boothby","NE",111,0,"Poa_trivialis",5,"","A"
"1178","28/6/2024","BB","Boothby","NE",111,0,"Trifolium_dubium",5,"","A"
"1179","28/6/2024","BB","Boothby","NE",111,0,"Epilobium_parviflorum",1,"","A"
"1180","28/6/2024","BB","Boothby","NE",111,0,"Vicia_tetrasperma",2,"","A"
"1181","28/6/2024","BB","Boothby","NE",111,0,"Bromus_hordeaceus",1,"","A"
"1182","28/6/2024","BB","Boothby","NE",111,0,"Carex_actiformis",5,"","A"
"1183","28/6/2024","BB","Boothby","NE",111,0,"Cirsium_discolor",2,"","A"
"1184","28/6/2024","BB","Boothby","NE",111,0,"Stellaria_media",1,"","A"
"1185","28/6/2024","BB","Boothby","NE",111,0,"Geranium_pusillum",3,"","A"
"1186","28/6/2024","BB","Boothby","NE",111,0,"Calamagrostis_epigejos",20,"","A"
"1187","28/6/2024","BB","Boothby","NE",111,0,"Dactylis_glomerata",15,"Check Sample 3","A"
"1188","28/6/2024","BB","Boothby","NE",111,2,"Juncus_conglomeratus",5,"","A"
"1189","28/6/2024","BB","Boothby","NE",111,0,"Holcus_lanatus",15,"","A"
"1190","28/6/2024","BB","Boothby","NE",111,0,"Poa_trivialis",5,"","A"
"1191","28/6/2024","BB","Boothby","NE",111,0,"Trifolium_dubium",2,"","A"
"1192","28/6/2024","BB","Boothby","NE",111,0,"Vicia_tetrasperma",3,"","A"
"1193","28/6/2024","BB","Boothby","NE",111,0,"Stellaria_media",2,"","A"
"1194","28/6/2024","BB","Boothby","NE",111,0,"Geranium_pusillum",4,"","A"
"1195","28/6/2024","BB","Boothby","NE",111,0,"Dactylis_glomerata",10,"","A"
"1196","28/6/2024","BB","Boothby","NE",111,0,"Ranunculus_repens",5,"","A"
"1197","28/6/2024","BB","Boothby","NE",111,0,"Prunella_vulgaris",8,"","A"
"1198","28/6/2024","BB","Boothby","NE",111,0,"Lolium_perenne",10,"","A"
"1199","28/6/2024","BB","Boothby","NE",111,0,"Rosa_multiflore",3,"","A"
"1200","28/6/2024","BB","Boothby","NE",111,0,"Carex_flacca",20,"","A"
"1201","28/6/2024","BB","Boothby","NE",111,0,"Crepis_mollis",10,"","A"
"1203","28/6/2024","BB","Boothby","NE",111,3,"Juncus_conglomeratus",10,"","A"
"1204","28/6/2024","BB","Boothby","NE",111,0,"Holcus_lanatus",15,"","A"
"1205","28/6/2024","BB","Boothby","NE",111,0,"Poa_trivialis",10,"","A"
"1206","28/6/2024","BB","Boothby","NE",111,0,"Trifolium_dubium",10,"","A"
"1207","28/6/2024","BB","Boothby","NE",111,0,"Vicia_tetrasperma",5,"","A"
"1208","28/6/2024","BB","Boothby","NE",111,0,"Carex_actiformis",5,"","A"
"1209","28/6/2024","BB","Boothby","NE",111,0,"Cirsium_discolor",3,"","A"
"1210","28/6/2024","BB","Boothby","NE",111,0,"Stellaria_media",3,"","A"
"1211","28/6/2024","BB","Boothby","NE",111,0,"Calamagrostis_epigejos",15,"","A"
"1212","28/6/2024","BB","Boothby","NE",111,0,"Epilobium_parviflorum",2,"","A"
"1213","28/6/2024","BB","Boothby","NE",111,0,"Dactylis_glomerata",15,"","A"
"1215","28/6/2024","BB","Boothby","NE",111,0,"Leucanthemum_vulgare",1,"","A"
"1216","28/6/2024","BB","Boothby","NE",111,0,"Cynosurus_cristatus",15,"","A"
"1217","28/6/2024","BB","Boothby","NE",111,4,"Juncus_conglomeratus",10,"","A"
"1218","28/6/2024","BB","Boothby","NE",111,0,"Holcus_lanatus",25,"","A"
"1219","28/6/2024","BB","Boothby","NE",111,0,"Trifolium_dubium",5,"","A"
"1220","28/6/2024","BB","Boothby","NE",111,0,"Stellaria_media",9,"","A"
"1221","28/6/2024","BB","Boothby","NE",111,0,"Prunella_vulgaris",20,"","A"
"1222","28/6/2024","BB","Boothby","NE",111,0,"Lolium_perenne",15,"","A"
"1223","28/6/2024","BB","Boothby","NE",111,0,"Carex_flacca",10,"","A"
"1224","28/6/2024","BB","Boothby","NE",111,0,"Festuca_rubra",10,"","A"
"1225","28/6/2024","BB","Boothby","NE",113,1,"Holcus_lanatus",15,"","A"
"1226","28/6/2024","BB","Boothby","NE",113,0,"Bromus_hordeaceus",40,"","A"
"1227","28/6/2024","BB","Boothby","NE",113,0,"Lolium_perenne",40,"","A"
"1228","28/6/2024","BB","Boothby","NE",113,0,"Poa_pratensis",10,"","A"
"1229","28/6/2024","BB","Boothby","NE",113,0,"Trifolium_dubium",5,"","A"
"1230","28/6/2024","BB","Boothby","NE",113,0,"Cirsium_discolor",3,"","A"
"1232","28/6/2024","BB","Boothby","NE",113,2,"Holcus_lanatus",10,"","A"
"1233","28/6/2024","BB","Boothby","NE",113,0,"Bromus_hordeaceus",40,"","A"
"1234","28/6/2024","BB","Boothby","NE",113,0,"Lolium_perenne",30,"","A"
"1235","28/6/2024","BB","Boothby","NE",113,0,"Crepis_mollis",5,"","A"
"1237","28/6/2024","BB","Boothby","NE",113,3,"Holcus_lanatus",15,"","A"
"1238","28/6/2024","BB","Boothby","NE",113,0,"Bromus_hordeaceus",35,"","A"
"1239","28/6/2024","BB","Boothby","NE",113,0,"Lolium_perenne",35,"","A"
"1240","28/6/2024","BB","Boothby","NE",113,0,"Poa_pratensis",5,"","A"
"1241","28/6/2024","BB","Boothby","NE",113,0,"Helminthotheca_echiodes",2,"","A"
"1243","28/6/2024","BB","Boothby","NE",113,4,"Bromus_hordeaceus",30,"","A"
"1244","28/6/2024","BB","Boothby","NE",113,0,"Lolium_perenne",20,"","A"
"1245","28/6/2024","BB","Boothby","NE",113,0,"Dactylis_glomerata",5,"","A"
"1246","28/6/2024","BB","Boothby","NE",113,0,"Rosa_multiflora_",5,"","A"
"1247","28/6/2024","BB","Boothby","NE",113,0,"Cirsium_discolor",8,"","A"
"1248","28/6/2024","BB","Boothby","NE",113,0,"Cirsium_dissectum",2,"","A"
"1250","28/6/2024","BB","Boothby","NE",132,1,"Poa_pratensis",10,"","A"
"1251","28/6/2024","BB","Boothby","NE",132,0,"Phleum_pratense",25,"","A"
"1252","28/6/2024","BB","Boothby","NE",132,0,"Lolium_perenne",15,"","A"
"1253","28/6/2024","BB","Boothby","NE",132,0,"Cirsium_discolor",3,"","A"
"1254","28/6/2024","BB","Boothby","NE",132,0,"Bromus_hordeaceus",70,"","A"
"1256","28/6/2024","BB","Boothby","NE",132,2,"Poa_pratensis",20,"","A"
"1257","28/6/2024","BB","Boothby","NE",132,0,"Phleum_pratense",10,"","A"
"1258","28/6/2024","BB","Boothby","NE",132,0,"Lolium_perenne",5,"","A"
"1259","28/6/2024","BB","Boothby","NE",132,0,"Bromus_hordeaceus",20,"","A"
"1260","28/6/2024","BB","Boothby","NE",132,0,"Festuca_rubra",15,"","A"
"1262","28/6/2024","BB","Boothby","NE",132,0,"Agrostis_stolonifera",10,"","A"
"1263","28/6/2024","BB","Boothby","NE",132,3,"Poa_pratensis",10,"","A"
"1264","28/6/2024","BB","Boothby","NE",132,0,"Phleum_pratense",5,"","A"
"1265","28/6/2024","BB","Boothby","NE",132,0,"Lolium_perenne",15,"","A"
"1266","28/6/2024","BB","Boothby","NE",132,0,"Bromus_hordeaceus",2,"","A"
"1267","28/6/2024","BB","Boothby","NE",132,0,"Calamagrostis_epigejos",80,"","A"
"1269","28/6/2024","BB","Boothby","NE",132,4,"Bromus_hordeaceus",5,"","A"
"1270","28/6/2024","BB","Boothby","NE",132,0,"Poa_trivialis",1,"","A"
"1271","28/6/2024","BB","Boothby","NE",132,0,"Phleum_pratense",2,"","A"
"1272","28/6/2024","BB","Boothby","NE",132,0,"Calamagrostis_epigejos",70,"","A"
"1274","28/6/2024","BB","Boothby","NE",133,1,"Holcus_lanatus",3,"","A"
"1275","28/6/2024","BB","Boothby","NE",133,0,"Alopecurus_myosuroides",7,"","A"
"1276","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_parviflorum",25,"","A"
"1277","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_tetragonum",10,"","A"
"1278","28/6/2024","BB","Boothby","NE",133,0,"Sonchus_arvensis",2,"","A"
"1279","28/6/2024","BB","Boothby","NE",133,0,"Veronica_serpyllifolia",6,"","A"
"1280","28/6/2024","BB","Boothby","NE",133,0,"Bowlesia_incana",1,"","A"
"1282","28/6/2024","BB","Boothby","NE",133,2,"Alopecurus_myosuroides",8,"","A"
"1283","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_parviflorum",30,"","A"
"1284","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_tetragonum",7,"","A"
"1285","28/6/2024","BB","Boothby","NE",133,0,"Veronica_serpyllifolia",5,"","A"
"1287","28/6/2024","BB","Boothby","NE",133,3,"Alopecurus_myosuroides",10,"","A"
"1288","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_parviflorum",8,"","A"
"1289","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_tetragonum",3,"","A"
"1290","28/6/2024","BB","Boothby","NE",133,0,"Sonchus_arvensis",1,"","A"
"1291","28/6/2024","BB","Boothby","NE",133,0,"Matricaria_chamomilla",1,"","A"
"1292","28/6/2024","BB","Boothby","NE",133,0,"Geranium_dissectum_",3,"","A"
"1294","28/6/2024","BB","Boothby","NE",133,4,"Alopecurus_myosuroides",6,"","A"
"1295","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_parviflorum",20,"","A"
"1296","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_parviflorum",6,"","A"
"1297","28/6/2024","BB","Boothby","NE",133,0,"Epilobium_hirsutum",4,"","A"
"1298","28/6/2024","BB","Boothby","NE",133,0,"Jacobaea_eruciflora",10,"","A"
"1299","28/6/2024","BB","Boothby","NE",133,0,"Poa_trivialis",4,"","A"
"1301","07/01/2024","EL","Boothby","C",221,1,"Brachypodium_sylvaticum",30,"","A"
"1302","07/01/2024","EL","Boothby","C",221,1,"Geum_urbanum",5,"","A"
"1303","07/01/2024","EL","Boothby","C",221,1,"Dryopteris_carthusiana",10,"","A"
"1304","07/01/2024","EL","Boothby","C",221,1,"Lamium_galeobdolon",1,"","A"
"1305","07/01/2024","EL","Boothby","C",221,1,"Circaea_lutetiana",3,"","A"
"1306","07/01/2024","EL","Boothby","C",221,1,"Crataegus_monogyna",3,"","A"
"1307","07/01/2024","EL","Boothby","C",221,1,"Urtica_dioica",2,"","A"
"1310","07/01/2024","EL","Boothby","C",221,1,"Sambucus_nigra",0,"20% overhang","A"
"1311","07/01/2024","EL","Boothby","C",221,1,"Pinus_spp",0,"20% overhang","A"
"1312","07/01/2024","EL","Boothby","C",221,2,"Geranium_purpureum",10,"","A"
"1313","07/01/2024","EL","Boothby","C",221,2,"Brachypodium_sylvaticum",20,"","A"
"1314","07/01/2024","EL","Boothby","C",221,2,"Lamium_galeobdolon",10,"","A"
"1315","07/01/2024","EL","Boothby","C",221,2,"Fraxinus_excelsior",5,"baby","A"
"1316","07/01/2024","EL","Boothby","C",221,2,"Veronica_montana",5,"","A"
"1318","07/01/2024","EL","Boothby","C",221,2,"Sambucus_branch",0,"5% overhang","A"
"1319","07/01/2024","EL","Boothby","C",221,3,"Brachypodium_sylvaticum",70,"","A"
"1320","07/01/2024","EL","Boothby","C",221,3,"Lamium_galeobdolon",5,"","A"
"1321","07/01/2024","EL","Boothby","C",221,3,"Circaea_lutetiana",6,"","A"
"1322","07/01/2024","EL","Boothby","C",221,3,"Urtica_dioica",1,"","A"
"1323","07/01/2024","EL","Boothby","C",221,3,"Rumex_conglomeratus",3,"","A"
"1324","07/01/2024","EL","Boothby","C",221,3,"Galium_aparine",5,"","A"
"1325","07/01/2024","EL","Boothby","C",221,3,"Rosa_multiflora_",2,"","A"
"1326","07/01/2024","EL","Boothby","C",221,3,"Dioscorea_communis",8,"","A"
"1327","07/01/2024","EL","Boothby","C",221,3,"Sambucus_nigra",0,"20% overhang","A"
"1328","07/01/2024","EL","Boothby","C",221,4,"Brachypodium_sylvaticum",40,"","A"
"1329","07/01/2024","EL","Boothby","C",221,4,"Lamium_galeobdolon",20,"","A"
"1330","07/01/2024","EL","Boothby","C",221,4,"Acer_campestre",5,"baby","A"
"1331","07/01/2024","EL","Boothby","C",221,4,"Circaea_lutetiana",10,"","A"
"1333","07/01/2024","EL","Boothby","C",221,4,"Sambucus_nigra",0,"10% overhang","A"
"1334","07/01/2024","EL","Boothby","C",221,4,"Pinus_spp",0,"10%overhang","A"
"1335","07/01/2024","EL","Boothby","C",221,4,"Viola_odorata",1,"","A"
"1336","07/01/2024","EL","Boothby","S",222,1,"Sonchus_asper",15,"","A"
"1337","07/01/2024","EL","Boothby","S",222,1,"Senecio_vulgaris",5,"","A"
"1338","07/01/2024","EL","Boothby","S",222,1,"Epilobium_hirsutum",5,"","A"
"1339","07/01/2024","EL","Boothby","S",222,1,"Triticum_aestivum",5,"","A"
"1342","07/01/2024","EL","Boothby","S",222,2,"Sonchus_asper",20,"","A"
"1343","07/01/2024","EL","Boothby","S",222,2,"Senecio_vulgaris",3,"","A"
"1344","07/01/2024","EL","Boothby","S",222,2,"Brassica_nigra",15,"","A"
"1345","07/01/2024","EL","Boothby","S",222,2,"Petroselinum_crispum",5,"","A"
"1347","07/01/2024","EL","Boothby","S",222,3,"Sonchus_asper",5,"","A"
"1348","07/01/2024","EL","Boothby","S",222,3,"Senecio_vulgaris",1,"","A"
"1349","07/01/2024","EL","Boothby","S",222,3,"Triticum_aestivum",5,"","A"
"1352","07/01/2024","EL","Boothby","S",222,4,"Sonchus_asper",10,"","A"
"1353","07/01/2024","EL","Boothby","S",222,4,"Triticum_aestivum",5,"","A"
"1355","07/01/2024","EL","Boothby","S",233,1,"Prunus_spinosa",50,"","A"
"1356","07/01/2024","EL","Boothby","S",233,1,"Rosa_multiflora_",20,"","A"
"1357","07/01/2024","EL","Boothby","S",233,1,"Rubus_pruinosus",20,"","A"
"1358","07/01/2024","EL","Boothby","S",233,1,"Hedera_hibernica",10,"","A"
"1359","07/01/2024","EL","Boothby","S",233,1,"Arrhenatherum_elatius",5,"","A"
"1360","07/01/2024","EL","Boothby","S",233,1,"Poa_trivialis",5,"","A"
"1361","07/01/2024","EL","Boothby","S",233,2,"Arrhenatherum_elatius",5,"","A"
"1362","07/01/2024","EL","Boothby","S",233,2,"Prunus_spinosa",50,"","A"
"1363","07/01/2024","EL","Boothby","S",233,2,"Brachypodium_sylvaticum",40,"","A"
"1364","07/01/2024","EL","Boothby","S",233,2,"Poa_trivialis",5,"","A"
"1366","07/01/2024","EL","Boothby","S",233,2,"Rubus_pruinosus",10,"","A"
"1367","07/01/2024","EL","Boothby","S",233,3,"Prunus_spinosa",60,"","A"
"1368","07/01/2024","EL","Boothby","S",233,3,"Rosa_multiflora_",5,"","A"
"1369","07/01/2024","EL","Boothby","S",233,3,"Rubus_pruinosus",5,"","A"
"1370","07/01/2024","EL","Boothby","S",233,3,"Hedera_helix",1,"","A"
"1371","07/01/2024","EL","Boothby","S",233,3,"Arrhenatherum_elatius",15,"","A"
"1372","07/01/2024","EL","Boothby","S",233,3,"Poa_trivialis",5,"","A"
"1373","07/01/2024","EL","Boothby","S",233,3,"Geum_macrophyllum",5,"","A"
"1374","07/01/2024","EL","Boothby","S",233,3,"Holcus_lanatus",6,"","A"
"1375","07/01/2024","EL","Boothby","S",233,3,"Rumex_conglomeratus",4,"","A"
"1376","07/01/2024","EL","Boothby","S",233,4,"Prunus_spinosa",40,"","A"
"1377","07/01/2024","EL","Boothby","S",233,4,"Arrhenatherum_elatius",30,"","A"
"1378","07/01/2024","EL","Boothby","S",233,4,"Brachypodium_sylvaticum",10,"","A"
"1379","07/01/2024","EL","Boothby","S",233,4,"Poa_trivialis",10,"","A"
"1380","07/01/2024","EL","Boothby","S",233,4,"Prunella_vulgaris",5,"","A"
"1381","07/01/2024","EL","Boothby","S",233,4,"Hedera_hibernica",1,"","A"
"1382","07/01/2024","EL","Boothby","S",233,4,"Rosa_multiflora_",5,"","A"
"1383","07/01/2024","EL","Boothby","S",233,4,"Vicia_tetrasperma",1,"","A"
"1384","07/01/2024","EL","Boothby","S",213,1,"Epilobium_tetragonum",15,"","A"
"1385","07/01/2024","EL","Boothby","S",213,1,"Epilobium_hirsutum",10,"","A"
"1386","07/01/2024","EL","Boothby","S",213,1,"Packera_aurea",20,"","A"
"1387","07/01/2024","EL","Boothby","S",213,1,"Senecio_vulgaris",5,"","A"
"1388","07/01/2024","EL","Boothby","S",213,1,"Bromus_hordeaceus",3,"","A"
"1389","07/01/2024","EL","Boothby","S",213,1,"Triticum_aestivum",1,"","A"
"1390","07/01/2024","EL","Boothby","S",213,1,"Senecio_sylvaticus",5,"","A"
"1391","07/01/2024","EL","Boothby","S",213,1,"Bromus_sterilis",3,"","A"
"1393","07/01/2024","EL","Boothby","S",213,2,"Epilobium_tetragonum",10,"","A"
"1394","07/01/2024","EL","Boothby","S",213,2,"Bromus_hordeaceus",10,"","A"
"1395","07/01/2024","EL","Boothby","S",213,2,"Epilobium_parviflorum",10,"","A"
"1396","07/01/2024","EL","Boothby","S",213,2,"Packera_aurea",20,"","A"
"1397","07/01/2024","EL","Boothby","S",213,2,"Senecio_sylvaticus",10,"","A"
"1398","07/01/2024","EL","Boothby","S",213,2,"Epilobium_hirsutum",10,"","A"
"1399","07/01/2024","EL","Boothby","S",213,2,"Holcus_lanatus",5,"","A"
"1401","07/01/2024","EL","Boothby","S",213,3,"Epilobium_parviflorum",10,"","A"
"1402","07/01/2024","EL","Boothby","S",213,3,"Epilobium_tetragonum",20,"","A"
"1403","07/01/2024","EL","Boothby","S",213,3,"Epilobium_hirsutum",20,"","A"
"1404","07/01/2024","EL","Boothby","S",213,3,"Packera_aurea",10,"","A"
"1405","07/01/2024","EL","Boothby","S",213,3,"Arrhenatherum_elatius",5,"","A"
"1406","07/01/2024","EL","Boothby","S",213,3,"Bromus_hordeaceus",5,"","A"
"1407","07/01/2024","EL","Boothby","S",213,3,"Alopecurus_myosuroides",1,"","A"
"1409","07/01/2024","EL","Boothby","S",213,4,"Epilobium_parviflorum",20,"","A"
"1410","07/01/2024","EL","Boothby","S",213,4,"Epilobium_tetragonum",10,"","A"
"1411","07/01/2024","EL","Boothby","S",213,4,"Packera_aurea",15,"","A"
"1412","07/01/2024","EL","Boothby","S",213,4,"Holcus_lanatus",15,"","A"
"1413","07/01/2024","EL","Boothby","S",213,4,"Bromus_hordeaceus",5,"","A"
"1414","07/01/2024","EL","Boothby","S",213,4,"Packera_werneriifolia",5,"","A"
"1415","07/01/2024","EL","Boothby","S",213,4,"Arrhenatherum_elatius",5,"","A"
"1417","07/01/2024","EL","Boothby","S",213,1,"Holcus_lanatus",40,"","A"
"1418","07/01/2024","EL","Boothby","S",213,1,"Packera_werneriifolia",10,"","A"
"1419","07/01/2024","EL","Boothby","S",213,1,"Epilobium_tetragonum",20,"","A"
"1420","07/01/2024","EL","Boothby","S",213,1,"Packera_aurea",10,"","A"
"1421","07/01/2024","EL","Boothby","S",213,1,"Epilobium_hirsutum",5,"","A"
"1423","07/01/2024","EL","Boothby","S",213,2,"Holcus_lanatus",1,"","A"
"1424","07/01/2024","EL","Boothby","S",213,2,"Packera_werneriifolia",10,"","A"
"1425","07/01/2024","EL","Boothby","S",213,2,"Epilobium_tetragonum",15,"","A"
"1426","07/01/2024","EL","Boothby","S",213,2,"Packera_aurea",5,"","A"
"1427","07/01/2024","EL","Boothby","S",213,2,"Epilobium_parviflorum",10,"","A"
"1430","07/01/2024","EL","Boothby","S",213,3,"Epilobium_tetragonum",10,"","A"
"1431","07/01/2024","EL","Boothby","S",213,3,"Epilobium_parviflorum",5,"","A"
"1432","07/01/2024","EL","Boothby","S",213,3,"Holcus_lanatus",1,"","A"
"1433","07/01/2024","EL","Boothby","S",213,3,"Packera_aurea",8,"","A"
"1435","07/01/2024","EL","Boothby","S",213,4,"Epilobium_parviflorum",10,"","A"
"1436","07/01/2024","EL","Boothby","S",213,4,"Epilobium_tetragonum",5,"","A"
"1437","07/01/2024","EL","Boothby","S",213,4,"Holcus_lanatus",10,"","A"
"1438","07/01/2024","EL","Boothby","S",213,4,"Packera_aurea",10,"","A"
"1439","07/01/2024","EL","Boothby","S",213,4,"Packera_werneriifolia",15,"","A"
"1442","07/01/2024","EL","Boothby","S",213,1,"Festuca_rubra",40,"","A"
"1443","07/01/2024","EL","Boothby","S",213,1,"Bromus_hordeaceus",20,"","A"
"1444","07/01/2024","EL","Boothby","S",213,1,"Centaurea_nigra",10,"","A"
"1445","07/01/2024","EL","Boothby","S",213,1,"Aster_bellidiastrum",1,"","A"
"1446","07/01/2024","EL","Boothby","S",213,1,"Crepis_mollis",5,"","A"
"1447","07/01/2024","EL","Boothby","S",213,1,"Helminthotheca_echiodes",5,"","A"
"1448","07/01/2024","EL","Boothby","S",213,1,"Geranium_dissectum_",2,"","A"
"1449","07/01/2024","EL","Boothby","S",213,1,"Poa_pratensis",5,"","A"
"1451","07/01/2024","EL","Boothby","S",213,2,"Festuca_rubra",70,"","A"
"1452","07/01/2024","EL","Boothby","S",213,2,"Bromus_hordeaceus",5,"","A"
"1453","07/01/2024","EL","Boothby","S",213,2,"Lolium_perenne",5,"","A"
"1454","07/01/2024","EL","Boothby","S",213,2,"Epilobium_hirsutum",5,"","A"
"1455","07/01/2024","EL","Boothby","S",213,2,"Centaurea_nigra",10,"","A"
"1456","07/01/2024","EL","Boothby","S",213,2,"Crepis_mollis",1,"","A"
"1458","07/01/2024","EL","Boothby","S",213,3,"Festuca_rubra",25,"","A"
"1459","07/01/2024","EL","Boothby","S",213,3,"Bromus_hordeaceus",5,"","A"
"1460","07/01/2024","EL","Boothby","S",213,3,"Phleum_pratense",25,"","A"
"1461","07/01/2024","EL","Boothby","S",213,3,"Poa_pratensis",5,"","A"
"1462","07/01/2024","EL","Boothby","S",213,3,"Geranium_dissectum_",1,"","A"
"1463","07/01/2024","EL","Boothby","S",213,3,"Centaurea_nigra",10,"","A"
"1465","07/01/2024","EL","Boothby","S",213,4,"Festuca_rubra",40,"","A"
"1466","07/01/2024","EL","Boothby","S",213,4,"Phleum_pratense",10,"","A"
"1467","07/01/2024","EL","Boothby","S",213,4,"Geranium_dissectum_",5,"","A"
"1468","07/01/2024","EL","Boothby","S",213,4,"Centaurea_nigra",10,"","A"
"1469","07/01/2024","EL","Boothby","S",213,4,"Crepis_mollis",5,"","A"
"1471","07/01/2024","EL","Boothby","S",213,4,"Epilobium_hirsutum",5,"","A"
"1472","07/01/2024","EL","Boothby","S",213,4,"Bromus_hordeaceus",5,"","A"
